#separator:tab
#html:false
abound		exist in large numbers or amounts.	1) a business in which opportunities abound   2) errors and inconsistencies abound	proliferate, plentiful, copious, ample, brim, bristle, bulge, burst, bustle, buzz, crawl, hum,
propriety		1. conformity to conventionally accepted standards of behavior or morals. 2. the condition of being right, appropriate, or fitting.	1) She acted with propriety.   2) He went beyond the bounds of propriety. [=he acted improperly]   3) She conducted herself with propriety.	decorum, courtesy, rectitude, modesty, sobriety, etiquette, probity, decency, form,
scintillating	Scene till late evening brightens with sparkling fireworks engineered briliantly	sparkling or shining brightly.brilliantly and excitingly clever or skilful.	A scintillating sunDespite the first disappointing match, the team delivered a scintillating performance for the second match.	agleam, aglitter, twinkling, dazzline, blinding, coruscant, flaring, flashing, flickering, gemmy,
sensational		causing great public interest and excitement.	1) a particularly sensational trial/crime   2) sensational headlines   3) sensational news stories	startling, astonishing, appalling, horryfying, thrliing, significant, catchpenny, gee-whiz, lurid, screaming, sensationalist, sensationalistic,
sophisticated		1. having, revealing, or involving a great deal of worldly experience and knowledge of fashion and culture.  2. (of a machine, system, or technique) developed to a high degree of complexity.		cosmopolitan, smart, worldly, worldly-wise, advanced, trailblazing, revolutionary, futuristic
strife		angry or bitter disagreement over fundamental issues; conflict.	1) political strife	conflict, disaccord, discord, dissension, bickering, contention, animosity, discordance, discordancy, disharmony, dissension, dissent,
understated	stated below/subtly	presented or expressed in a subtle and effective way.	understated elegance	lessen, trivialize, diminish, conservative, low-key, muted, quiet, repressed, restrained, sober, subdued,
unscrupulous	un + scrupulous: unethical	having or showing no moral principles; not honest or fair.	Counterfeit documents make it easier for unscrupulous employers to knowingly hire illegal workers.	unethical, cutthroat, shameless, reprobate, deceitful, fardudulent, sly, immoral, Machiavellian, unconscionable, unethical, unprincipled,
veracity	Very accurate story is only possible with the truthfulness in every details.	conformity to facts; accuracy./habitual truthfulness.	We questioned the veracity of his statements.	honesty, integrity, probity, truthfulness, verity,
virulent	This virus is harmful and hostile against our bodies	1. (of a disease or poison) extremely severe or harmful in its effects.  2. bitterly hostile.	1) a virulent infection	toxic, poisonous, venomous, lethal, mortal, baneful, vitriolic, bad, bitchy, catty, cruel, despiteful, hateful, malevolent, malicious,
volatile	Volume of magma in the vile easily evaporated puddle of unpredictable liquid	1. (of a substance) easily evaporated at normal temperatures. 2. liable to change rapidly and unpredictably, especially for the worse.		capricious, turbulent, protean, erratic, changeable, changeful, fickle, flickery, fluctuating, fluid, inconsistent, evaporative, eruptive,
antedate	ante = before	precede in time; come before (something) in date.	Dinosaurs antedated the first human beings by almost 65 million years	antecede, forego, precede, predate, preexist,
banish		1. send (someone) away from a country or place as an official punishment.  2. get rid of (something unwanted).	1) a dictator who banishes anyone who opposes him	deport, extradite, repatriate, oust, dissipate, displace, exile, expatriate, relegate, transport,
bridle		1. show one's resentment or anger, especially by throwing up one's head and drawing in one's chin.  2. put a bridle on (a horse).	Aware that he possessed a temper and other foibles, he sought to correct his mistakes and bridle his anger	check, constrain, contain, control, curb, govern, hold, inhibit,
comply		act in accordance with a wish or command.	1) comply with federal law   2) the devices comply with industry standards	accede, accept, acquiesce, consent, defer, subscribe, agree, assent,
crestfallen		sad and disappointed.	1) After losing its last game, the team was crestfallen. [=dejected, depressed]   2) my crestfallen [=downcast] teammates	desolate, gloomy, bad, blue, brokenhearted, cast down, dejected, depressed, despondent, disconsolate,
curtail	cut tail	reduce in extent or quantity; impose a restriction on.	1) curtail the power of the executive branch   2) curtail inflation   3) Some school activities are being curtailed due to a lack of funds.	abbreviate, abridge, diminish, cut back, dock, elide, shorten, syncopate, truncate,
elucidate	e + lucid (clear) + ate (make)	make (something) clear; explain.	Reading more similar works will help to elucidate this matter	clarify, interpret, explicate, clear (up), construe, demonstrate, demystify, explain, explicate, expound,
evade		escape or avoid (someone or something), especially by guile or trickery.	The criminals have so far managed to evade the police. His criminal activities somehow evaded detection.	avoid, dodge, duck, ditch, elude, escape, eschew, finesse, get around,
feckless	fake + useless	lacking initiative or strength of character; irresponsible.	She can't rely on her feckless son.	useless, worthless, incompetent, inept, indolent, apathetic, counterproductive, hamstrung, ineffective, ineffectual, inefficacious, inefficient, inexpedient,
fester		1. (of a wound or sore) become septic; suppurate.  2. (of a negative feeling or a problem) become worse or more intense, especially through long-term neglect or indifference.	I developed a tropical sore that festered badly. His feelings of resentment have festered for years.	suppurate, rot, decay, deteriorate, boil, hickey, papule, pimple, pock, pustule, whelk, zit,
iconoclastic	I can't inherit those clashing ideas. Their ideas are questioning at best and irreverent at worst.	criticizing or attacking cherished beliefs or institutions.	They soon discover that they are not living their life; their speciality is living them, and the result is an iconoclastic insanity.	critical, skeptical, questioning; heretical, irreverent, nonconformist, dissident, dissenting, dissentient; malcontent, rebellious, subversive, renegade, mutinous; maverick, original, innovative, groundbreaking
immure	Immature students are confined in the detention room for a week.	enclose or confine (someone) against their will.	Immured in a tiny apartment, he tries to hit on a subject for his next novel	confine, incarcerate, imprison, detain, box (in), cage, closet, coop (up), corral, encage, encase, enclose,
improvise		1. create and perform (music, drama, or verse) spontaneously or without preparation.  2. produce or make (something) from whatever is available.	1) If you forget any of your lines, try to improvise.   2) Good jazz musicians know how to improvise.   1) He had to improvise his opening speech when he forgot his notes.   2) The trumpet player performed an improvised solo.	impromptu, extemporize, fake, unrehearsed, unscripted, spontaneous
inhibit		hinder, restrain, or prevent (an action or process). make (someone) self-conscious and unable to act in a relaxed and natural way. (in ecclesiastical law) forbid (a member of the clergy) to exercise clerical functions.	You shouldn't allow fear of failure to inhibit you. He was inhibited by modesty. Fear can inhibit people from expressing their opinions.	impede, hamper, clog, curb, restrain, bridle, shackle, cramp, embarrass, encumber, fetter, hamper, handcuff, handicap,
inscrutable	When putting in the screws of the table, he realised the instructions were impossible to understand.	impossible to understand or interpret.	1) an inscrutable smile   2) inscrutable motives	arcane, cryptic, deep, enigmatic, abstruse, obscure, impenetrable, mysterious, mystic, occult,
lionize	Lion lovers admire the majestic creatures, celebrating them like royalty	give a lot of public attention and approval to (someone); treat as a celebrity.	She was lionized everywhere after her novel won the Pulitzer Prize.	apotheosize, fetem glorify, exalt, canonize, dignify, magnify, adore, deify, glorify, idolize, reverence
